# pt     central   down        up  
0.500000 0.000000 0.000000 0.000000 
1.500000 0.000000 0.000000 0.000000 
2.500000 0.000000 0.000000 0.000000 
3.500000 0.000000 0.000000 0.000000 
4.500000 0.000000 0.000000 0.000000 
5.500000 1.268244 1.132119 1.306781 
6.500000 1.114878 1.047730 1.142361 
7.500000 1.000046 0.980431 1.017153 
8.500000 0.919362 0.933169 0.927045 
9.500000 0.875797 0.912460 0.874884 
10.500000 0.849732 0.906593 0.840594 
11.500000 0.840245 0.911814 0.823114 
12.500000 0.841036 0.919968 0.815996 
13.500000 0.831353 0.916367 0.799024 
14.500000 0.857972 0.952668 0.817059 
15.500000 0.841437 0.940828 0.794280 
16.500000 0.872997 0.982629 0.817179 
17.500000 0.854818 0.968256 0.793713 
18.500000 0.877701 1.000240 0.808675 
19.500000 0.890659 1.020789 0.814632 
20.500000 0.980507 1.129828 0.890626 
21.500000 0.961214 1.113307 0.867291 
22.500000 0.974694 1.134438 0.873850 
23.500000 0.933830 1.091893 0.832191 
24.500000 0.980717 1.151758 0.869022 
25.500000 0.963236 1.135899 0.848943 
26.500000 0.993652 1.176376 0.871274 
27.500000 0.985451 1.171086 0.859896 
28.500000 1.046122 1.247560 0.908541 
29.500000 1.071473 1.282130 0.926442 
30.500000 0.968677 1.162787 0.833982 
31.500000 1.024768 1.233919 0.878781 
32.500000 1.142292 1.379350 0.975816 
33.500000 1.054894 1.277370 0.897940 
34.500000 1.070591 1.299856 0.908176 
35.500000 0.953669 1.160834 0.806298 
36.500000 0.941043 1.148233 0.793072 
37.500000 1.071672 1.310645 0.900385 
38.500000 0.949612 1.163928 0.795513 
39.500000 1.169679 1.436618 0.977164 
40.500000 1.069982 1.316739 0.891562 
41.500000 1.201755 1.481702 0.998903 
42.500000 0.865748 1.069377 0.717892 
43.500000 1.432338 1.772355 1.184943 
44.500000 0.928903 1.151381 0.766722 
45.500000 1.157148 1.436700 0.953021 
46.500000 1.271205 1.580781 1.044757 
47.500000 1.080361 1.345545 0.886132 
48.500000 1.444675 1.801945 1.182718 
49.500000 1.115145 1.392831 0.911299 
50.500000 0.942344 1.178581 0.768769 
51.500000 1.080137 1.352595 0.879709 
52.500000 1.076968 1.350317 0.875720 
53.500000 0.793069 0.995574 0.643897 
54.500000 1.045978 1.314546 0.847908 
55.500000 1.324082 1.666023 1.071806 
56.500000 1.212194 1.526936 0.979807 
57.500000 1.111216 1.401232 0.896961 
58.500000 1.473239 1.859661 1.187591 
59.500000 1.740745 2.199469 1.401398 
60.500000 0.747448 0.945322 0.600987 
61.500000 1.721376 2.179064 1.382376 
62.500000 0.952497 1.206826 0.764028 
63.500000 1.099215 1.393906 0.880701 
64.500000 1.354480 1.719023 1.084056 
65.500000 1.503645 1.909943 1.202211 
66.500000 2.320680 2.950085 1.853613 
67.500000 1.290625 1.641958 1.029876 
68.500000 5.987153 7.622844 4.773236 
69.500000 0.794281 1.012027 0.632656 
70.500000 0.738277 0.941334 0.587534 
71.500000 0.534196 0.681591 0.424761 
72.500000 1.492228 1.905213 1.185527 
73.500000 1.042938 1.332517 0.827900 
74.500000 0.000000 0.000000 0.000000 
75.500000 1.816007 2.323021 1.439243 
76.500000 1.696527 2.171430 1.343453 
77.500000 1.057368 1.354110 0.836657 
78.500000 2.967776 3.802710 2.346567 
79.500000 1.389256 1.781128 1.097673 
80.500000 0.867701 1.113075 0.685149 
81.500000 1.220253 1.566063 0.962879 
82.500000 1.144756 1.469981 0.902772 
83.500000 0.358238 0.460207 0.282324 
84.500000 0.000000 0.000000 0.000000 
85.500000 0.948913 1.220255 0.746999 
86.500000 1.784925 2.296511 1.404421 
87.500000 0.839952 1.081148 0.660499 
88.500000 0.790974 1.018570 0.621679 
89.500000 0.745277 0.960161 0.585436 
90.500000 1.405256 1.811247 1.103296 
91.500000 1.325586 1.709340 1.040212 
92.500000 0.625564 0.807027 0.490643 
93.500000 0.590750 0.762459 0.463100 
94.500000 0.000000 0.000000 0.000000 
95.500000 0.527642 0.681585 0.413230 
96.500000 0.998090 1.289790 0.781291 
97.500000 0.000000 0.000000 0.000000 
98.500000 0.000000 0.000000 0.000000 
99.500000 0.000000 0.000000 0.000000 
