,mass,ctau_for_eps10em2,ctau_for_eps10em4,ctau_for_eps10em6,ctau_for_eps10em8,br_zdtosm
0,220,2.469556799337836e-09,2.4695567993378368e-05,0.2469556799337837,2469.5567993378368,0.2812401507737743
1,230,2.1168184686741752e-09,2.116818468674175e-05,0.21168184686741756,2116.818468674175,0.3558995934771442
2,240,1.9069362891933507e-09,1.906936289193351e-05,0.1906936289193351,1906.936289193351,0.3945342799215568
3,250,1.757311172246517e-09,1.7573111722465168e-05,0.17573111722465168,1757.3111722465171,0.4187930127922773
4,260,1.6412540047546707e-09,1.6412540047546706e-05,0.16412540047546706,1641.2540047546706,0.4354644327336996
5,270,1.5466026279173254e-09,1.5466026279173255e-05,0.1546602627917326,1546.6026279173254,0.4475605493654639
6,280,1.4667829742066956e-09,1.4667829742066962e-05,0.14667829742066962,1466.7829742066958,0.4566669995622089
7,290,1.3978442634368667e-09,1.3978442634368664e-05,0.1397844263436867,1397.8442634368669,0.463710870137421
8,300,1.3372311670853327e-09,1.3372311670853326e-05,0.13372311670853326,1337.2311670853328,0.4692744825316794
9,310,1.2831982113584135e-09,1.2831982113584138e-05,0.12831982113584134,1283.1982113584136,0.473743248507457
10,320,1.2345013734318255e-09,1.2345013734318256e-05,0.12345013734318258,1234.5013734318256,0.4773826609246067
11,330,1.1902231766595698e-09,1.1902231766595696e-05,0.11902231766595694,1190.2231766595696,0.4803814826744393
12,339,1.1496676021930265e-09,1.1496676021930265e-05,0.11496676021930265,1149.6676021930264,0.4828774154552526
13,350,1.112293945247455e-09,1.1122939452474553e-05,0.11122939452474552,1112.2939452474554,0.484973077541046
14,360,1.018116610744913e-09,1.0181166107449132e-05,0.10181166107449133,1018.1166107449131,0.4598466059225067
15,370,9.774795032530756e-10,9.774795032530756e-06,0.09774795032530756,977.4795032530757,0.4565082433151734
16,380,9.374033522022854e-10,9.374033522022854e-06,0.09374033522022854,937.4033522022853,0.4519606758487993
17,390,9.167231577002879e-10,9.16723157700288e-06,0.0916723157700288,916.723157700288,0.4556529842656897
18,400,8.833796404904958e-10,8.83379640490496e-06,0.0883379640490496,883.3796404904961,0.4520856159880665
19,410,8.472580418103236e-10,8.472580418103238e-06,0.08472580418103237,847.2580418103238,0.4459409002892642
20,420,8.263059555097227e-10,8.263059555097228e-06,0.0826305955509723,826.3059555097229,0.4468364716849101
21,430,7.864776465853776e-10,7.864776465853775e-06,0.07864776465853776,786.4776465853777,0.4365538642699523
22,440,7.658534012842428e-10,7.658534012842427e-06,0.07658534012842427,765.8534012842429,0.435985973321901
23,450,7.328321728061881e-10,7.328321728061881e-06,0.07328321728061883,732.8321728061882,0.4275313622317994
24,460,7.223366876424836e-10,7.2233668764248386e-06,0.07223366876424837,722.3366876424835,0.43154542246000605
25,470,6.873217775463026e-10,6.873217775463027e-06,0.06873217775463028,687.3217775463025,0.42022281466490097
26,480,6.576404629800656e-10,6.576404629800656e-06,0.06576404629800657,657.6404629800658,0.4112158567053896
27,490,6.357223350230368e-10,6.357223350230367e-06,0.06357223350230368,635.7223350230366,0.4063098178561793
28,500,6.14531716838623e-10,6.145317168386229e-06,0.06145317168386229,614.531716838623,0.4012407946614523
29,510,5.881815221239751e-10,5.881815221239751e-06,0.05881815221239752,588.1815221239752,0.3921205263922228
30,520,5.774010321363624e-10,5.774010321363624e-06,0.057740103213636235,577.4010321363626,0.39284600850284784
31,530,5.420860463312773e-10,5.420860463312773e-06,0.054208604633127724,542.0860463312773,0.3762272517239272
32,540,5.190831372551908e-10,5.190831372551909e-06,0.05190831372551909,519.083137255191,0.3673391753448071
33,550,5.004521598072423e-10,5.004521598072424e-06,0.05004521598072423,500.45215980724237,0.36096224699295465
34,560,4.803769912233384e-10,4.803769912233384e-06,0.04803769912233384,480.3769912233384,0.3530039708291424
35,570,4.5881240066774303e-10,4.588124006677428e-06,0.0458812400667743,458.81240066774285,0.343374476785716
36,580,4.3869167350385767e-10,4.386916735038576e-06,0.04386916735038576,438.69167350385766,0.3342507473980477
37,590,4.110914650501703e-10,4.110914650501703e-06,0.041109146505017034,411.0914650501703,0.31877412505236113
38,600,3.8619415770353017e-10,3.8619415770353016e-06,0.03861941577035303,386.1941577035303,0.3046770178031731
39,610,3.613371280899913e-10,3.6133712808999124e-06,0.03613371280899913,361.3371280899913,0.28993432431310495
40,620,3.433742311464815e-10,3.4337423114648145e-06,0.034337423114648144,343.37423114648146,0.2801411519241168
41,630,3.1368052912791065e-10,3.1368052912791063e-06,0.031368052912791065,313.68052912791063,0.26013162609506746
42,640,3.096544319955629e-10,3.0965443199556284e-06,0.03096544319955628,309.65443199556285,0.2609505809368873
43,650,2.6526103111776726e-10,2.652610311177673e-06,0.02652610311177673,265.2610311177673,0.2270979733038739
44,660,2.4546874722875066e-10,2.454687472287508e-06,0.024546874722875082,245.46874722875077,0.21344329333053028
45,670,2.2745579030400143e-10,2.2745579030400143e-06,0.022745579030400143,227.4557903040014,0.20082668717966265
46,680,1.9458508155153686e-10,1.9458508155153686e-06,0.019458508155153684,194.58508155153686,0.1744084135269544
47,690,1.790403721443893e-10,1.790403721443893e-06,0.01790403721443893,179.0403721443893,0.16287003407726386
48,700,1.60754298108306e-10,1.60754298108306e-06,0.016075429810830603,160.75429810830602,0.14838408365278455
49,710,1.4260402859863532e-10,1.4260402859863528e-06,0.014260402859863528,142.60402859863532,0.13353538533092832
50,720,1.270699083425332e-10,1.2706990834253322e-06,0.012706990834253322,127.06990834253322,0.12068559831747268
51,730,1.1519979466256523e-10,1.1519979466256523e-06,0.011519979466256523,115.19979466256521,0.11094909112172074
52,740,9.1160975349232e-11,9.116097534923201e-07,0.009116097534923205,91.16097534923205,0.08901314853297722
53,750,9.650803813958809e-11,9.65080381395881e-07,0.009650803813958813,96.50803813958812,0.09552086526231957
54,760,9.045963745050971e-11,9.04596374505097e-07,0.009045963745050971,90.45963745050972,0.09073984000449968
55,770,8.202084323045934e-11,8.202084323045936e-07,0.008202084323045936,82.02084323045933,0.08336753747979395
56,780,5.0136654506964245e-11,5.013665450696426e-07,0.005013665450696426,50.136654506964256,0.05162749631267092
57,790,8.476017187668657e-11,8.476017187668657e-07,0.008476017187668656,84.76017187668657,0.08840890775542783
58,799,1.0605818305792557e-10,1.0605818305792558e-06,0.010605818305792556,106.05818305792556,0.11203517706146553
59,809,1.2037272638282762e-10,1.2037272638282764e-06,0.012037272638282763,120.37272638282762,0.12875788344888556
60,820,1.3232038447181928e-10,1.3232038447181932e-06,0.013232038447181928,132.3203844718193,0.14329773941647211
61,830,1.4139242162738282e-10,1.4139242162738285e-06,0.014139242162738284,141.39242162738284,0.15500249807303568
62,840,1.562340225055784e-10,1.5623402250557845e-06,0.015623402250557843,156.2340225055784,0.1733496604419683
63,850,1.7368673497751837e-10,1.7368673497751839e-06,0.017368673497751837,173.6867349775184,0.1950227724498068
64,860,1.7020567659330942e-10,1.702056765933094e-06,0.01702056765933094,170.2056765933094,0.1933757738065623
65,870,1.9508924493685432e-10,1.950892449368543e-06,0.019508924493685437,195.08924493685436,0.2242385481899221
66,880,2.0197369214805115e-10,2.019736921480511e-06,0.02019736921480511,201.9736921480511,0.2348343919119888
67,890,2.1771928763585816e-10,2.1771928763585817e-06,0.021771928763585826,217.7192876358582,0.2560331414316669
68,900,2.2304103648380715e-10,2.230410364838071e-06,0.022304103648380712,223.04103648380718,0.2652529513904918
69,910,2.3255627744922311e-10,2.3255627744922317e-06,0.02325562774492232,232.5562774492232,0.27965640842940603
70,920,2.3317923005557444e-10,2.331792300555744e-06,0.02331792300555744,233.1792300555744,0.283500726330414
71,930,2.422122687970066e-10,2.4221226879700656e-06,0.024221226879700658,242.21226879700657,0.2976977891029296
72,940,2.4698004842801074e-10,2.4698004842801067e-06,0.024698004842801075,246.98004842801072,0.30683523432746285
73,950,2.5122539057769607e-10,2.5122539057769605e-06,0.025122539057769608,251.2253905776961,0.3154428070724616
74,960,2.507397055640076e-10,2.507397055640076e-06,0.025073970556400763,250.7397055640077,0.3181595021820352
75,970,2.5762121107112486e-10,2.576212110711249e-06,0.025762121107112488,257.6212110711249,0.3303087619732983
76,980,2.50538239960048e-10,2.5053823996004803e-06,0.0250538239960048,250.53823996004803,0.3245504459871684
77,990,2.558548826456236e-10,2.5585488264562357e-06,0.025585488264562355,255.85488264562358,0.3348309670578097
78,1000,2.3005475776410783e-10,2.300547577641078e-06,0.023005475776410784,230.05475776410785,0.3041177792001328
79,1010,1.7074875681848284e-10,1.7074875681848283e-06,0.017074875681848286,170.74875681848283,0.2279831305206864
80,1020,1.5803573765309685e-11,1.5803573765309686e-07,0.0015803573765309686,15.803573765309686,0.02131041099411431
81,1030,1.3329149633115072e-10,1.3329149633115073e-06,0.013329149633115073,133.2914963311507,0.18150473879322973
82,1040,1.969501107939136e-10,1.969501107939136e-06,0.01969501107939136,196.9501107939136,0.2708003708221376
83,1050,2.1796370053676973e-10,2.1796370053676967e-06,0.021796370053676968,217.96370053676972,0.3025826398296568
84,1060,2.2843330872199015e-10,2.284333087219902e-06,0.02284333087219902,228.43330872199022,0.3201445960216308
85,1070,2.2589426461447361e-10,2.258942646144736e-06,0.02258942646144737,225.8942646144736,0.31958010021849
86,1080,2.271436116149711e-10,2.2714361161497106e-06,0.02271436116149711,227.1436116149711,0.3243578734325953
87,1090,2.3243758873926197e-10,2.3243758873926197e-06,0.0232437588739262,232.437588739262,0.33499784317244224
88,1100,2.370385993485076e-10,2.3703859934850756e-06,0.02370385993485076,237.03859934850757,0.34477002090864955
89,1110,2.3600599334847884e-10,2.360059933484789e-06,0.023600599334847885,236.00599334847885,0.3463952703433561
90,1120,2.350677575102068e-10,2.3506775751020678e-06,0.023506775751020673,235.06775751020683,0.3481327444468649
91,1130,2.2916185692247063e-10,2.291618569224706e-06,0.022916185692247067,229.16185692247063,0.3424223199015322
92,1140,2.2786703579532825e-10,2.2786703579532825e-06,0.022786703579532826,227.86703579532832,0.3435063909869885
93,1150,2.2706882642676582e-10,2.270688264267658e-06,0.02270688264267658,227.06882642676575,0.3453112236125723
94,1160,2.2197332965573418e-10,2.219733296557342e-06,0.022197332965573423,221.97332965573426,0.3405028133972812
95,1170,2.1877409167131525e-10,2.1877409167131518e-06,0.021877409167131517,218.7740916713152,0.3384932195795353
96,1180,2.1833631765774161e-10,2.1833631765774164e-06,0.02183363176577416,218.33631765774163,0.3407079385579034
97,1190,2.2180085515554571e-10,2.218008551555456e-06,0.022180085515554563,221.8008551555457,0.3490520830585107
98,1200,2.1441313563437558e-10,2.1441313563437562e-06,0.02144131356343756,214.4131356343756,0.3402657575971226
99,1210,2.089598557627171e-10,2.0895985576271708e-06,0.02089598557627171,208.9598557627171,0.33437913744682696
100,1220,2.0783963793472386e-10,2.078396379347239e-06,0.020783963793472388,207.83963793472387,0.33533915660936936
101,1230,2.034769610356803e-10,2.034769610356803e-06,0.02034769610356803,203.47696103568032,0.3309949192535686
102,1240,1.9954267971410168e-10,1.9954267971410167e-06,0.01995426797141017,199.54267971410167,0.3272375845256115
103,1250,1.9813296408128285e-10,1.981329640812828e-06,0.019813296408128282,198.1329640812828,0.32754952797317416
104,1260,1.969591304912123e-10,1.9695913049121223e-06,0.019695913049121227,196.95913049121222,0.32821713586399265
105,1270,1.9032642348827648e-10,1.9032642348827647e-06,0.01903264234882765,190.32642348827653,0.31968450585641217
106,1280,1.887797559846126e-10,1.8877975598461274e-06,0.018877975598461275,188.7797559846127,0.3195863363030649
107,1290,1.87697307092968e-10,1.8769730709296798e-06,0.0187697307092968,187.69730709296797,0.32023916584063145
108,1300,1.8157045656522485e-10,1.8157045656522484e-06,0.018157045656522486,181.57045656522487,0.3121899853001789
109,1310,1.8116182370435558e-10,1.8116182370435558e-06,0.01811618237043556,181.16182370435558,0.3138860436929014
110,1320,1.7693760691044843e-10,1.7693760691044841e-06,0.017693760691044846,176.93760691044847,0.30890971857794425
111,1330,1.7567088404906925e-10,1.7567088404906925e-06,0.017567088404906925,175.67088404906926,0.30902403440923
112,1340,1.6805734884753322e-10,1.6805734884753318e-06,0.016805734884753322,168.05734884753318,0.2978560014087729
113,1350,1.6243119964225426e-10,1.6243119964225432e-06,0.016243119964225432,162.4311996422543,0.2900349747725068
114,1360,1.6155749751124208e-10,1.6155749751124212e-06,0.016155749751124212,161.55749751124213,0.2906137578148095
115,1370,1.5738841624403294e-10,1.573884162440329e-06,0.01573884162440329,157.3884162440329,0.28519792692825746
116,1380,1.559030499756034e-10,1.5590304997560345e-06,0.015590304997560344,155.9030499756034,0.28457026398935603
117,1390,1.5421070021790093e-10,1.542107002179009e-06,0.015421070021790087,154.2107002179009,0.28352268873205555
118,1400,1.464627760110257e-10,1.464627760110257e-06,0.014646277601102568,146.46277601102577,0.2712166857925409
119,1410,1.5188448872597352e-10,1.5188448872597353e-06,0.015188448872597354,151.88448872597348,0.28326711138473964
120,1420,1.5094911658698296e-10,1.5094911658698297e-06,0.015094911658698296,150.94911658698297,0.2835208244443482
121,1430,1.5366401433891383e-10,1.536640143389138e-06,0.015366401433891385,153.66401433891383,0.29065419761753314
122,1440,1.5331923007658625e-10,1.5331923007658624e-06,0.015331923007658625,153.31923007658625,0.2920315515857653
123,1450,1.4674221214379412e-10,1.4674221214379415e-06,0.014674221214379416,146.74221214379415,0.28144653772634165
124,1460,1.3987065729082542e-10,1.3987065729082548e-06,0.013987065729082548,139.87065729082548,0.2701185681588252
125,1470,1.328229974490901e-10,1.328229974490901e-06,0.013282299744909014,132.8229974490901,0.2582662350596551
126,1480,1.261284143041093e-10,1.2612841430410928e-06,0.012612841430410929,126.12841430410928,0.24691851592768976
127,1490,1.217921477767495e-10,1.2179214777674952e-06,0.012179214777674951,121.79214777674952,0.24004158645420906
128,1500,1.188246115298057e-10,1.188246115298057e-06,0.011882461152980571,118.82461152980572,0.2357656097097581
129,1510,1.195062898267557e-10,1.195062898267557e-06,0.01195062898267557,119.50628982675569,0.2386999403276173
130,1520,1.1827804831167893e-10,1.1827804831167893e-06,0.011827804831167892,118.27804831167893,0.23781217604200414
131,1530,1.170228014167936e-10,1.170228014167936e-06,0.01170228014167936,117.0228014167936,0.2368372265022256
132,1540,1.157586658662898e-10,1.157586658662898e-06,0.01157586658662898,115.7586658662898,0.2358109259303973
133,1550,1.1351675380262071e-10,1.1351675380262071e-06,0.011351675380262072,113.5167538026207,0.2327463861966437
134,1560,1.1207533980177441e-10,1.1207533980177441e-06,0.011207533980177443,112.07533980177442,0.2312743640030977
135,1570,1.1279384493357574e-10,1.1279384493357574e-06,0.011279384493357577,112.79384493357573,0.2342498860136759
136,1580,1.1090795955614704e-10,1.1090795955614705e-06,0.011090795955614704,110.90795955614706,0.2318011546275964
137,1590,1.0824006237676535e-10,1.082400623767653e-06,0.010824006237676535,108.24006237676537,0.2276577118014943
138,1600,1.0637783504011496e-10,1.0637783504011498e-06,0.0106377835040115,106.37783504011496,0.2251488397878888
